,Date,USD
1257,2024-03-11, 301.884
1258,2024-03-12, 302.006
1259,2024-03-13, 301.889
1260,2024-03-14, 301.825
1261,2024-03-15, 301.782
1262,2024-03-16, 301.858
1263,2024-03-17, 301.857
1264,2024-03-18, 301.977
1265,2024-03-19, 302.309
1266,2024-03-20, 302.462
1267,2024-03-21, 302.605
1268,2024-03-22, 302.772
1269,2024-03-23, 303.128
1270,2024-03-24, 303.094
1271,2024-03-25, 303.080
1272,2024-03-26, 302.683
1273,2024-03-27, 302.555
1274,2024-03-28, 302.642
1275,2024-03-29, 302.871
1276,2024-03-30, 303.092
1277,2024-03-31, 303.085
1278,2024-04-01, 303.457
1279,2024-04-02, 303.410
1280,2024-04-03, 303.271
1281,2024-04-04, 303.491
1282,2024-04-05, 303.647
1283,2024-04-06, 303.560
1284,2024-04-07, 303.347
1285,2024-04-08, 303.660
1286,2024-04-09, 303.691
1287,2024-04-10, 303.609
1288,2024-04-11, 303.693
1289,2024-04-12, 303.850
1290,2024-04-13, 303.907
1291,2024-04-14, 303.851
1292,2024-04-15, 304.069
1293,2024-04-16, 304.380
1294,2024-04-17, 304.292
1295,2024-04-18, 304.338
1296,2024-04-19, 304.426
1297,2024-04-20, 304.543
1298,2024-04-21, 304.694
1299,2024-04-22, 304.724
1300,2024-04-23, 304.561
1301,2024-04-24, 304.735
1302,2024-04-25, 304.939
1303,2024-04-26, 304.958
1304,2024-04-27, 304.869
1305,2024-04-28, 304.819
1306,2024-04-29, 304.639
1307,2024-04-30, 304.394
1308,2024-05-01, 304.641
1309,2024-05-02, 304.650
1310,2024-05-03, 304.559
1311,2024-05-04, 304.658
1312,2024-05-05, 304.686
1313,2024-05-06, 304.896
1314,2024-05-07, 304.987
1315,2024-05-08, 304.922
1316,2024-05-09, 305.105
1317,2024-05-10, 305.164
1318,2024-05-11, 305.315
1319,2024-05-12, 305.185
1320,2024-05-13, 305.356
1321,2024-05-14, 305.444
1322,2024-05-15, 305.604
1323,2024-05-16, 305.674
1324,2024-05-17, 305.757
1325,2024-05-18, 305.810
1326,2024-05-19, 305.779
1327,2024-05-20, 305.582
1328,2024-05-21, 305.612
1329,2024-05-22, 305.745
1330,2024-05-23, 305.885
1331,2024-05-24, 305.909
1332,2024-05-25, 305.786
1333,2024-05-26, 305.601
1334,2024-05-27, 305.754
1335,2024-05-28, 305.776
1336,2024-05-29, 305.840
1337,2024-05-30, 305.811
1338,2024-05-31, 305.831
1339,2024-06-01, 305.732
1340,2024-06-02, 305.603
1341,2024-06-03, 305.577
1342,2024-06-04, 305.680
1343,2024-06-05, 305.772
1344,2024-06-06, 305.759
1345,2024-06-07, 305.918
1346,2024-06-08, 305.989
1347,2024-06-09, 305.992
1348,2024-06-10, 306.123
1349,2024-06-11, 306.258
1350,2024-06-12, 306.300
1351,2024-06-13, 306.385
1352,2024-06-14, 306.563
1353,2024-06-15, 306.715
1354,2024-06-16, 306.796
1355,2024-06-17, 306.888
1356,2024-06-18, 306.852
1357,2024-06-19, 306.869
1358,2024-06-20, 306.870
1359,2024-06-21, 306.956
1360,2024-06-22, 306.812
1361,2024-06-23, 306.681
1362,2024-06-24, 306.683
1363,2024-06-25, 306.681
1364,2024-06-26, 306.702
1365,2024-06-27, 306.801
1366,2024-06-28, 306.867
1367,2024-06-29, 306.772
1368,2024-06-30, 306.757
1369,2024-07-01, 306.805
1370,2024-07-02, 306.623
1371,2024-07-03, 306.467
1372,2024-07-04, 306.445
1373,2024-07-05, 306.513
1374,2024-07-06, 306.480
1375,2024-07-07, 306.537
1376,2024-07-08, 306.647
1377,2024-07-09, 306.763
1378,2024-07-10, 306.820
1379,2024-07-11, 306.849
1380,2024-07-12, 306.941
1381,2024-07-13, 306.945
1382,2024-07-14, 307.021
1383,2024-07-15, 307.004
1384,2024-07-16, 307.071
1385,2024-07-17, 307.029
1386,2024-07-18, 307.054
1387,2024-07-19, 307.223
1388,2024-07-20, 307.214
1389,2024-07-21, 307.089
1390,2024-07-22, 307.172
1391,2024-07-23, 307.292
1392,2024-07-24, 307.343
1393,2024-07-25, 307.330
1394,2024-07-26, 307.372
1395,2024-07-27, 307.364
1396,2024-07-28, 307.414
1397,2024-07-29, 307.443
1398,2024-07-30, 307.470
1399,2024-07-31, 307.494
1400,2024-08-01, 307.636
1401,2024-08-02, 307.877
1402,2024-08-03, 308.030
1403,2024-08-04, 308.006
1404,2024-08-05, 308.329
1405,2024-08-06, 308.470
1406,2024-08-07, 308.549
1407,2024-08-08, 308.491
1408,2024-08-09, 308.588
1409,2024-08-10, 308.733
1410,2024-08-11, 308.665
1411,2024-08-12, 308.803
1412,2024-08-13, 308.968
1413,2024-08-14, 309.092
1414,2024-08-15, 309.309
1415,2024-08-16, 309.226
1416,2024-08-17, 309.158
1417,2024-08-18, 309.055
1418,2024-08-19, 309.284
1419,2024-08-20, 309.460
1420,2024-08-21, 309.372
1421,2024-08-22, 309.553
1422,2024-08-23, 309.676
1423,2024-08-24, 309.389
1424,2024-08-25, 309.230
1425,2024-08-26, 309.431
1426,2024-08-27, 309.259
1427,2024-08-28, 309.062
1428,2024-08-29, 309.089
1429,2024-08-30, 309.210
1430,2024-08-31, 309.380
1431,2024-09-01, 309.219
1432,2024-09-02, 309.411
1433,2024-09-03, 309.626
1434,2024-09-04, 309.615
1435,2024-09-05, 309.643
1436,2024-09-06, 309.710
1437,2024-09-07, 309.737
1438,2024-09-08, 374.263
1439,2024-09-09, 374.352
1440,2024-09-10, 374.597
1441,2024-09-11, 374.578
1442,2024-09-12, 374.285
1443,2024-09-13, 374.107
1444,2024-09-14, 374.201
1445,2024-09-15, 374.275
1446,2024-09-16, 374.606
1447,2024-09-17, 374.824
1448,2024-09-18, 374.727
1449,2024-09-19, 374.732
1450,2024-09-20, 374.533
1451,2024-09-21, 374.749
1452,2024-09-22, 374.797
1453,2024-09-23, 374.720
1454,2024-09-24, 374.890
1455,2024-09-25, 375.091
1456,2024-09-26, 375.092
1457,2024-09-27, 375.070
1458,2024-09-28, 375.001
1459,2024-09-29, 374.912
1460,2024-09-30, 375.054
1461,2024-10-01, 375.431
1462,2024-10-02, 375.694
1463,2024-10-03, 375.693
1464,2024-10-04, 375.736
1465,2024-10-05, 375.810
1466,2024-10-06, 375.872
1467,2024-10-07, 375.995
1468,2024-10-08, 376.132
1469,2024-10-09, 376.209
1470,2024-10-10, 376.232
1471,2024-10-11, 376.223
1472,2024-10-12, 376.135
1473,2024-10-13, 376.034
1474,2024-10-14, 376.163
1475,2024-10-15, 376.410
1476,2024-10-16, 376.352
1477,2024-10-17, 376.332
1478,2024-10-18, 376.400
1479,2024-10-19, 376.338
1480,2024-10-20, 376.355
1481,2024-10-21, 376.336
1482,2024-10-22, 376.361
1483,2024-10-23, 376.365
1484,2024-10-24, 376.371
1485,2024-10-25, 376.401
1486,2024-10-26, 376.405
1487,2024-10-27, 376.396
1488,2024-10-28, 376.426
1489,2024-10-29, 376.591
1490,2024-10-30, 376.698
1491,2024-10-31, 376.877
1492,2024-11-01, 376.655
1493,2024-11-02, 376.426
1494,2024-11-03, 376.373
1495,2024-11-04, 376.541
1496,2024-11-05, 376.599
1497,2024-11-06, 376.760
1498,2024-11-07, 376.753
1499,2024-11-08, 376.899
1500,2024-11-09, 377.037
1501,2024-11-10, 377.025
1502,2024-11-11, 377.144
1503,2024-11-12, 377.406
1504,2024-11-13, 377.505
1505,2024-11-14, 377.458
1506,2024-11-15, 377.292
1507,2024-11-16, 377.245
1508,2024-11-17, 377.202
1509,2024-11-18, 377.325
1510,2024-11-19, 377.321
1511,2024-11-20, 377.254
1512,2024-11-21, 377.166
1513,2024-11-22, 377.143
1514,2024-11-23, 377.061
1515,2024-11-24, 377.091
1516,2024-11-25, 377.108
1517,2024-11-26, 377.062
1518,2024-11-27, 377.020
1519,2024-11-28, 377.062
1520,2024-11-29, 376.979
1521,2024-11-30, 376.997
1522,2024-12-01, 377.019
1523,2024-12-02, 377.028
1524,2024-12-03, 377.246
1525,2024-12-04, 377.305
1526,2024-12-05, 377.256
1527,2024-12-06, 377.404
1528,2024-12-07, 377.484
1529,2024-12-08, 377.633
1530,2024-12-09, 377.591
1531,2024-12-10, 377.713
1532,2024-12-11, 377.766
1533,2024-12-12, 377.726
1534,2024-12-13, 377.644
1535,2024-12-14, 377.754
1536,2024-12-15, 377.746
1537,2024-12-16, 377.909
1538,2024-12-17, 377.893
1539,2024-12-18, 377.658
1540,2024-12-19, 377.560
1541,2024-12-20, 377.597
1542,2024-12-21, 377.601
