Date,Price,Inflation,USD
2011-12-07,89760.04,8.8584,46.67
2011-12-08,88759.81,8.8584,46.67
2011-12-09,88927.80,8.8584,46.67
2011-12-12,87696.25,8.8584,46.67
2011-12-13,89018.80,8.8584,46.67
2011-12-14,86097.12,8.8584,46.67
2011-12-15,84437.21,8.8584,46.67
2011-12-16,84019.73,8.8584,46.67
2011-12-19,84358.41,8.8584,46.67
2011-12-20,85313.81,8.8584,46.67
2011-12-21,84436.07,8.8584,46.67
2011-12-22,84702.70,8.8584,46.67
2011-12-23,85086.26,8.8584,46.67
2011-12-26,85086.26,8.8584,46.67
2011-12-27,85192.69,8.8584,46.67
2011-12-28,83239.41,8.8584,46.67
2011-12-29,81227.19,8.8584,46.67
2011-12-30,81303.75,8.8584,46.67
2012-01-02,81303.75,9.3124,53.44
2012-01-03,85037.56,9.3124,53.44
2012-01-04,85416.39,9.3124,53.44
2012-01-05,84722.99,9.3124,53.44
2012-01-06,85221.86,9.3124,53.44
2012-01-09,84795.56,9.3124,53.44
2012-01-10,84641.06,9.3124,53.44
2012-01-11,84838.72,9.3124,53.44
2012-01-12,85715.90,9.3124,53.44
2012-01-13,84285.47,9.3124,53.44
2012-01-16,84289.95,9.3124,53.44
2012-01-17,84017.14,9.3124,53.44
2012-01-18,82975.84,9.3124,53.44
2012-01-19,83172.01,9.3124,53.44
2012-01-20,83187.22,9.3124,53.44
2012-01-23,83938.34,9.3124,53.44
2012-01-24,83399.91,9.3124,53.44
2012-01-25,82689.73,9.3124,53.44
2012-01-26,86548.59,9.3124,53.44
2012-01-27,85109.06,9.3124,53.44
2012-01-30,86095.55,9.3124,53.44
2012-01-31,86232.07,9.3124,53.44
2012-02-01,85729.78,9.3124,53.44
2012-02-02,86070.40,9.3124,53.44
2012-02-03,84428.44,9.3124,53.44
2012-02-06,84334.14,9.3124,53.44
2012-02-07,84829.40,9.3124,53.44
2012-02-08,85824.63,9.3124,53.44
2012-02-09,86530.35,9.3124,53.44
2012-02-10,84556.66,9.3124,53.44
2012-02-13,84615.39,9.3124,53.44
2012-02-14,85006.51,9.3124,53.44
2012-02-15,85419.56,9.3124,53.44
2012-02-16,84433.76,9.3124,53.44
2012-02-17,84900.81,9.3124,53.44
2012-02-20,85393.56,9.3124,53.44
2012-02-21,86193.88,9.3124,53.44
2012-02-22,86242.18,9.3124,53.44
2012-02-23,87419.50,9.3124,53.44
2012-02-24,86981.96,9.3124,53.44
2012-02-27,87226.68,9.3124,53.44
2012-02-28,87402.57,9.3124,53.44
2012-02-29,86747.69,9.3124,53.44
2012-03-01,84354.50,9.3124,53.44
2012-03-02,84505.02,9.3124,53.44
2012-03-05,84977.19,9.3124,53.44
2012-03-06,84059.17,9.3124,53.44
2012-03-07,84353.07,9.3124,53.44
2012-03-08,84981.63,9.3124,53.44
2012-03-09,84113.41,9.3124,53.44
2012-03-12,84832.55,9.3124,53.44
2012-03-13,84373.23,9.3124,53.44
2012-03-14,82072.73,9.3124,53.44
2012-03-15,83034.47,9.3124,53.44
2012-03-16,83206.73,9.3124,53.44
2012-03-19,83465.43,9.3124,53.44
2012-03-20,83491.90,9.3124,53.44
2012-03-21,83559.24,9.3124,53.44
2012-03-22,83696.69,9.3124,53.44
2012-03-23,85155.18,9.3124,53.44
2012-03-26,86247.21,9.3124,53.44
2012-03-27,85894.38,9.3124,53.44
2012-03-28,85199.45,9.3124,53.44
2012-03-29,85087.75,9.3124,53.44
2012-03-30,84696.05,9.3124,53.44
2012-04-02,85460.22,9.3124,53.44
2012-04-03,84969.09,9.3124,53.44
2012-04-04,82792.57,9.3124,53.44
2012-04-05,83303.32,9.3124,53.44
2012-04-06,83303.32,9.3124,53.44
2012-04-09,83662.14,9.3124,53.44
2012-04-10,84444.04,9.3124,53.44
2012-04-11,85287.50,9.3124,53.44
2012-04-12,85886.02,9.3124,53.44
2012-04-13,85708.08,9.3124,53.44
2012-04-16,85418.75,9.3124,53.44
2012-04-17,84334.54,9.3124,53.44
2012-04-18,85035.88,9.3124,53.44
2012-04-19,85791.74,9.3124,53.44
2012-04-20,85513.92,9.3124,53.44
2012-04-23,85587.65,9.3124,53.44
2012-04-24,87044.10,9.3124,53.44
2012-04-25,86153.83,9.3124,53.44
2012-04-26,86866.60,9.3124,53.44
2012-04-27,87433.56,9.3124,53.44
2012-04-30,87020.87,9.3124,53.44
2012-05-01,87692.79,9.3124,53.44
2012-05-02,87319.26,9.3124,53.44
2012-05-03,87529.54,9.3124,53.44
2012-05-04,88047.45,9.3124,53.44
2012-05-07,86962.59,9.3124,53.44
2012-05-08,85293.05,9.3124,53.44
2012-05-09,85003.98,9.3124,53.44
2012-05-10,85335.91,9.3124,53.44
2012-05-11,84777.55,9.3124,53.44
2012-05-14,83917.41,9.3124,53.44
2012-05-15,83747.47,9.3124,53.44
2012-05-16,84373.87,9.3124,53.44
2012-05-17,84778.46,9.3124,53.44
2012-05-18,86588.00,9.3124,53.44
2012-05-21,87547.67,9.3124,53.44
2012-05-22,87733.78,9.3124,53.44
2012-05-23,86887.28,9.3124,53.44
2012-05-24,87490.93,9.3124,53.44
2012-05-25,86958.15,9.3124,53.44
2012-05-28,86886.41,9.3124,53.44
2012-05-29,88159.77,9.3124,53.44
2012-05-30,86432.50,9.3124,53.44
2012-05-31,87493.36,9.3124,53.44
2012-06-01,89759.34,9.3124,53.44
2012-06-04,89181.18,9.3124,53.44
2012-06-05,89365.85,9.3124,53.44
2012-06-06,90578.99,9.3124,53.44
2012-06-07,88506.64,9.3124,53.44
2012-06-08,87503.62,9.3124,53.44
2012-06-11,88327.80,9.3124,53.44
2012-06-12,89343.01,9.3124,53.44
2012-06-13,90011.79,9.3124,53.44
2012-06-14,90130.09,9.3124,53.44
2012-06-15,90597.12,9.3124,53.44
2012-06-18,90459.91,9.3124,53.44
2012-06-19,91019.86,9.3124,53.44
2012-06-20,89768.06,9.3124,53.44
2012-06-21,89165.46,9.3124,53.44
2012-06-22,89499.63,9.3124,53.44
2012-06-25,89639.13,9.3124,53.44
2012-06-26,89898.97,9.3124,53.44
2012-06-27,89982.56,9.3124,53.44
2012-06-28,88779.95,9.3124,53.44
2012-06-29,89252.23,9.3124,53.44
2012-07-02,88507.22,9.3124,53.44
2012-07-03,88396.37,9.3124,53.44
2012-07-04,87855.07,9.3124,53.44
2012-07-05,88436.53,9.3124,53.44
2012-07-06,88229.24,9.3124,53.44
2012-07-09,88569.78,9.3124,53.44
2012-07-10,88352.91,9.3124,53.44
2012-07-11,87393.39,9.3124,53.44
2012-07-12,86947.68,9.3124,53.44
2012-07-13,88015.75,9.3124,53.44
2012-07-16,87873.42,9.3124,53.44
2012-07-17,87418.59,9.3124,53.44
